n_cliques,c_max,m1,m2,m3,sbar,degeneracy,family,tau,kbar_target,n,seed,kbar,secs
384950,9,1.7863462787374984,3.433438108845305,7.0538615404598,0.922045098261626,12,config,2.5,2.0,300000,1,1.98862,5.62
242960,18,2.03304659203161,5.444958017780705,19.234075567994733,1.6782258897173596,18,hrg,2.5,2.0,300000,2,2.0040333333333336,5.71
382976,10,1.7951751545788772,3.4879914146056152,7.315975413602941,0.9429811100654681,11,config,2.5,2.0,300000,2,1.9900333333333333,8.55
242049,18,2.0273870166784413,5.396878318026515,18.965131027188708,1.6619872148872998,17,hrg,2.5,2.0,300000,3,1.9920133333333334,3.2
384714,10,1.7852794543479054,3.432289960854037,7.097729742094127,0.922550529831601,12,config,2.5,2.0,300000,3,1.9856933333333333,5.98
777,9,3.2805662805662803,13.82882882882883,69.45817245817246,3.21537857983523,8,hrg,2.5,4.0,1000,1,4.486,0.1
1916,5,2.164926931106472,5.034446764091858,12.674321503131525,1.3254580520732886,6,config,2.5,4.0,1000,1,4.256,0.1
776,9,3.07860824742268,11.952319587628867,54.5889175257732,2.882377563834241,8,hrg,2.5,4.0,1000,2,4.006,0.05
1744,6,2.1313073394495414,4.8755733944954125,12.063646788990827,1.2875975248856601,5,config,2.5,4.0,1000,2,3.784,0.05
744,8,3.098118279569893,11.727150537634408,51.67876344086021,2.78524945770065,7,hrg,2.5,4.0,1000,3,4.05,0.09
1844,5,2.0949023861171367,4.609002169197398,10.73047722342733,1.2001035464664769,5,config,2.5,4.0,1000,3,3.968,0.1
2322,10,3.0663221360895783,12.37123169681309,61.7743324720069,3.0345505617977517,9,hrg,2.5,4.0,3000,1,4.010666666666666,0.07
5501,7,2.100163606616978,4.720778040356299,11.515179058353025,1.2478144204968413,6,config,2.5,4.0,3000,1,3.8573333333333335,0.08
2296,11,3.060975609756098,11.843205574912892,55.414634146341456,2.869095048377916,10,hrg,2.5,4.0,3000,2,3.9753333333333334,0.08
5857,4,2.0083660577087246,4.161003926925047,8.885265494280349,1.0718354161353396,5,config,2.5,4.0,3000,2,3.9353333333333333,0.1
2322,9,2.7614125753660637,9.635658914728682,40.31438415159345,2.489394884591391,8,hrg,2.5,4.0,3000,3,3.4546666666666668,0.16
5197,4,1.990186646142005,4.132191649028285,8.929959592072349,1.0762834767475584,5,config,2.5,4.0,3000,3,3.421333333333333,0.17
7584,10,3.054061181434599,11.762658227848101,54.142668776371316,2.8514808738450914,9,hrg,2.5,4.0,10000,1,3.9694,0.18
19451,6,2.0257056192483676,4.267235617706031,9.39653488252532,1.106542815085529,6,config,2.5,4.0,10000,1,3.9156,0.23
7758,18,3.101314771848415,12.962877030162415,73.24748646558392,3.179800498753117,17,hrg,2.5,4.0,10000,2,4.0326,0.43
19338,8,2.1017168269727997,4.798272830696039,12.489243975592098,1.2830253672219079,11,config,2.5,4.0,10000,2,3.9552,0.47
7850,13,3.0538853503184717,12.094649681528663,59.92777070063695,2.960413798857047,12,hrg,2.5,4.0,10000,3,3.9976,0.29
19180,7,2.077215849843587,4.582638164754952,10.908602711157457,1.2061444240857404,8,config,2.5,4.0,10000,3,3.9168,0.35
23297,18,3.0768768510967077,12.58428123792763,67.90608232819677,3.0899528472977877,17,hrg,2.5,4.0,30000,1,4.015666666666666,0.52
59188,9,2.0613975805906604,4.513718997094005,10.7588024599581,1.1896401934267677,10,config,2.5,4.0,30000,1,3.9556666666666667,0.72
22845,13,3.076296782665791,12.014707813525936,57.42009192383453,2.905575002134381,13,hrg,2.5,4.0,30000,2,3.9992,0.57
61024,6,1.9869723387519664,4.046457131620346,8.448495673833245,1.0364939424179194,8,config,2.5,4.0,30000,2,3.985,0.76
23464,18,3.061413228775997,12.430148312308217,66.40099727241733,3.060264780811048,17,hrg,2.5,4.0,30000,3,3.981133333333333,0.77
59048,8,2.0615600867091177,4.540526351442894,11.053532719143748,1.2024710221718382,11,config,2.5,4.0,30000,3,3.9288,0.97
78439,19,3.065974833947398,12.43871033541988,65.902854447405,3.0570164496116305,18,hrg,2.5,4.0,100000,1,4.00672,2.87
195793,10,2.0793031415832024,4.653225600506658,11.709249053847685,1.2378774443459188,13,config,2.5,4.0,100000,1,3.92908,4.0
77542,21,3.066544582290888,12.229475639008538,62.27791390472261,2.988031254993986,20,hrg,2.5,4.0,100000,2,3.99564,2.28
204686,9,1.9978357093303891,4.146101834028707,9.105317413013102,1.0752966896453904,12,config,2.5,4.0,100000,2,3.9805,3.26
77852,20,3.0744617993115138,12.55658171915943,67.93838308585521,3.0841560373172685,19,hrg,2.5,4.0,100000,3,3.99908,2.2
